,CPU,memory,storage,GPU,DPDK
2023-05-05 12:25:13.083297+03:00,626.0,3500.0,22688.0,21,92.0
2023-05-05 13:25:13.083297+03:00,632.0,3524.0,22880.0,27,92.0
2023-05-05 14:25:13.083297+03:00,1117.0,6460.0,41056.0,41,158.0
2023-05-05 15:25:13.083297+03:00,1587.0,9336.0,58752.0,50,222.0
2023-05-05 16:25:13.083297+03:00,1912.0,11632.0,71808.0,51,267.0
2023-05-05 17:25:13.083297+03:00,2066.0,12248.0,76736.0,55,286.0
2023-05-05 18:25:13.083297+03:00,2452.0,14488.0,90944.0,60,340.0
2023-05-05 19:25:13.083297+03:00,2852.0,17408.0,107264.0,65,388.0
2023-05-05 20:25:13.083297+03:00,3192.0,20004.0,121440.0,70,420.0
2023-05-05 21:25:13.083297+03:00,3149.0,18512.0,116544.0,76,429.0
2023-05-05 22:25:13.083297+03:00,3581.0,22124.0,135392.0,79,475.0
2023-05-05 23:25:13.083297+03:00,3783.0,24216.0,145280.0,82,483.0
2023-05-06 00:25:13.083297+03:00,3977.0,25928.0,153984.0,90,489.0
2023-05-06 01:25:13.083297+03:00,3806.0,24224.0,145792.0,86,481.0
2023-05-06 02:25:13.083297+03:00,3516.0,21432.0,132160.0,79,467.0
2023-05-06 03:25:13.083297+03:00,3228.0,20016.0,122240.0,75,427.0
2023-05-06 04:25:13.083297+03:00,2936.0,17720.0,109888.0,78,384.0
2023-05-06 05:25:13.083297+03:00,2618.0,15956.0,98400.0,71,354.0
2023-05-06 06:25:13.083297+03:00,2613.0,15684.0,97568.0,72,360.0
2023-05-06 07:25:13.083297+03:00,2114.0,11840.0,76672.0,66,305.0
2023-05-06 08:25:13.083297+03:00,1669.0,9208.0,60160.0,58,241.0
2023-05-06 09:25:13.083297+03:00,1074.0,6240.0,39552.0,34,156.0
2023-05-06 10:25:13.083297+03:00,602.0,3344.0,21760.0,25,77.0
2023-05-06 11:25:13.083297+03:00,586.0,3172.0,20960.0,20,93.0
2023-05-06 12:25:13.083297+03:00,571.0,2980.0,20128.0,19,84.0
2023-05-06 13:25:13.083297+03:00,651.0,3852.0,24160.0,24,92.0
2023-05-06 14:25:13.083297+03:00,1194.0,6648.0,43200.0,45,174.0
2023-05-06 15:25:13.083297+03:00,1736.0,9932.0,63520.0,58,245.0
2023-05-06 16:25:13.083297+03:00,2155.0,13516.0,82016.0,67,283.0
2023-05-06 17:25:13.083297+03:00,2149.0,12520.0,79232.0,67,301.0
2023-05-06 18:25:13.083297+03:00,2647.0,16264.0,99840.0,72,356.0
2023-05-06 19:25:13.083297+03:00,2920.0,17476.0,108896.0,76,395.0
2023-05-06 20:25:13.083297+03:00,3339.0,20328.0,125440.0,82,451.0
2023-05-06 21:25:13.083297+03:00,3474.0,21564.0,131616.0,86,455.0
2023-05-06 22:25:13.083297+03:00,3641.0,22532.0,137760.0,85,483.0
2023-05-06 23:25:13.083297+03:00,3893.0,25136.0,150080.0,94,484.0
2023-05-07 00:25:13.083297+03:00,3908.0,24536.0,148800.0,98,494.0
2023-05-07 01:25:13.083297+03:00,3837.0,24132.0,146208.0,93,490.0
2023-05-07 02:25:13.083297+03:00,3615.0,22428.0,136928.0,89,472.0
2023-05-07 03:25:13.083297+03:00,3392.0,19940.0,125536.0,86,464.0
2023-05-07 04:25:13.083297+03:00,3059.0,18212.0,113824.0,76,431.0
2023-05-07 05:25:13.083297+03:00,2710.0,15820.0,100000.0,78,378.0
2023-05-07 06:25:13.083297+03:00,2604.0,15924.0,98016.0,77,357.0
2023-05-07 07:25:13.083297+03:00,2316.0,14148.0,87136.0,79,304.0
2023-05-07 08:25:13.083297+03:00,1663.0,9136.0,59840.0,63,242.0
2023-05-07 09:25:13.083297+03:00,1220.0,6908.0,44448.0,45,178.0
2023-05-07 10:25:13.083297+03:00,677.0,3440.0,23616.0,29,102.0
